COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
system_se  2029     system  exe       ???                ???       ???        ??? /system/bin/app_process
system_se  2029     system    0       ???                ???       ???        ??? /dev/null
system_se  2029     system    1       ???                ???       ???        ??? /dev/null
system_se  2029     system    2       ???                ???       ???        ??? /dev/null
system_se  2029     system    3       ???                ???       ???        ??? /dev/log/main
system_se  2029     system    4       ???                ???       ???        ??? /dev/log/radio
system_se  2029     system    5       ???                ???       ???        ??? /dev/log/events
system_se  2029     system    6       ???                ???       ???        ??? /dev/log/system
system_se  2029     system    7       ???                ???       ???        ??? /system/framework/core.jar
system_se  2029     system    8       ???                ???       ???        ??? /system/framework/core-junit.jar
system_se  2029     system    9       ???                ???       ???        ??? /dev/__properties__ (deleted)
system_se  2029     system   10       ???                ???       ???        ??? /dev/binder
system_se  2029     system   11       ???                ???       ???        ??? /system/framework/bouncycastle.jar
system_se  2029     system   12       ???                ???       ???        ??? /system/framework/ext.jar
system_se  2029     system   13       ???                ???       ???        ??? /system/framework/framework.jar
system_se  2029     system   14       ???                ???       ???        ??? /system/framework/android.policy.jar
system_se  2029     system   15       ???                ???       ???        ??? /system/framework/services.jar
system_se  2029     system   16       ???                ???       ???        ??? /system/framework/apache-xml.jar
system_se  2029     system   17       ???                ???       ???        ??? /system/framework/filterfw.jar
system_se  2029     system   18       ???                ???       ???        ??? /data/data/de.robv.android.xposed.installer/bin/XposedBridge.jar
system_se  2029     system   19       ???                ???       ???        ??? /data/data/de.robv.android.xposed.installer/bin/XposedBridge.jar
system_se  2029     system   20       ???                ???       ???        ??? /data/data/de.robv.android.xposed.installer/log/error.log
system_se  2029     system   21       ???                ???       ???        ??? /system/framework/framework-res.apk
system_se  2029     system   22       ???                ???       ???        ??? /system/framework/framework.jar
system_se  2029     system   23       ???                ???       ???        ??? /data/app/biz.bokhorst.xprivacy-1.apk
system_se  2029     system   24       ???                ???       ???        ??? /data/app/biz.bokhorst.xprivacy-1.apk
system_se  2029     system   25       ???                ???       ???        ??? /data/app/biz.bokhorst.xprivacy-1.apk
system_se  2029     system   26       ???                ???       ???        ??? /system/framework/core.jar
system_se  2029     system   27       ???                ???       ???        ??? /dev/urandom
system_se  2029     system   28       ???                ???       ???        ??? /system/etc/system_fonts.xml
system_se  2029     system   29       ???                ???       ???        ??? /system/etc/fallback_fonts.xml
system_se  2029     system   30       ???                ???       ???        ??? /system/fonts/Roboto-Regular.ttf
system_se  2029     system   31       ???                ???       ???        ??? /dev/log/main
system_se  2029     system   32       ???                ???       ???        ??? /dev/log/radio
system_se  2029     system   33       ???                ???       ???        ??? /dev/log/events
system_se  2029     system   34       ???                ???       ???        ??? /dev/log/system
system_se  2029     system   35       ???                ???       ???        ??? socket:[1917]
system_se  2029     system   36       ???                ???       ???        ??? pipe:[1918]
system_se  2029     system   37       ???                ???       ???        ??? pipe:[1918]
system_se  2029     system   38       ???                ???       ???        ??? /dev/cpuctl/tasks
system_se  2029     system   39       ???                ???       ???        ??? /dev/cpuctl/bg_non_interactive/tasks
system_se  2029     system   40       ???                ???       ???        ??? /data/system/xprivacy/xprivacy.db
system_se  2029     system   41       ???                ???       ???        ??? pipe:[1923]
system_se  2029     system   42       ???                ???       ???        ??? pipe:[1923]
system_se  2029     system   43       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   44       ???                ???       ???        ??? socket:[1924]
system_se  2029     system   45       ???                ???       ???        ??? socket:[1925]
system_se  2029     system   46       ???                ???       ???        ??? /dev/uinput
system_se  2029     system   47       ???                ???       ???        ??? /dev/input/event5
system_se  2029     system   48       ???                ???       ???        ??? /dev/input/event4
system_se  2029     system   49       ???                ???       ???        ??? /dev/accelerometer
system_se  2029     system   50       ???                ???       ???        ??? /dev/akm8975
system_se  2029     system   51       ???                ???       ???        ??? pipe:[1927]
system_se  2029     system   52       ???                ???       ???        ??? /dev/input/event8
system_se  2029     system   53       ???                ???       ???        ??? /dev/input/event6
system_se  2029     system   54       ???                ???       ???        ??? pipe:[1927]
system_se  2029     system   55       ???                ???       ???        ??? pipe:[2483]
system_se  2029     system   56       ???                ???       ???        ??? pipe:[2483]
system_se  2029     system   57       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   58       ???                ???       ???        ??? pipe:[1928]
system_se  2029     system   59       ???                ???       ???        ??? pipe:[1928]
system_se  2029     system   60       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   61       ???                ???       ???        ??? /dev/alarm
system_se  2029     system   62       ???                ???       ???        ??? /dev/ashmem
system_se  2029     system   63       ???                ???       ???        ??? /dev/ashmem
system_se  2029     system   64       ???                ???       ???        ??? pipe:[2485]
system_se  2029     system   65       ???                ???       ???        ??? pipe:[2485]
system_se  2029     system   66       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   67       ???                ???       ???        ??? anon_inode:inotify
system_se  2029     system   68       ???                ???       ???        ??? socket:[3221]
system_se  2029     system   69       ???                ???       ???        ??? pipe:[2504]
system_se  2029     system   70       ???                ???       ???        ??? pipe:[2504]
system_se  2029     system   71       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   72       ???                ???       ???        ??? pipe:[3245]
system_se  2029     system   73       ???                ???       ???        ??? pipe:[3245]
system_se  2029     system   74       ???                ???       ???        ??? pipe:[2486]
system_se  2029     system   75       ???                ???       ???        ??? pipe:[2486]
system_se  2029     system   76       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   77       ???                ???       ???        ??? /data/system/accounts.db
system_se  2029     system   78       ???                ???       ???        ??? pipe:[2487]
system_se  2029     system   79       ???                ???       ???        ??? pipe:[2487]
system_se  2029     system   80       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   81       ???                ???       ???        ??? /system/app/SettingsProvider.apk
system_se  2029     system   82       ???                ???       ???        ??? /system/app/SettingsProvider.apk
system_se  2029     system   83       ???                ???       ???        ??? /system/app/SettingsProvider.apk
system_se  2029     system   84       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases/settings.db
system_se  2029     system   85       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases/settings.db
system_se  2029     system   86       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases/settings.db-wal
system_se  2029     system   87       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases
system_se  2029     system   88       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases/settings.db-shm
system_se  2029     system   89       ???                ???       ???        ??? socket:[2490]
system_se  2029     system   90       ???                ???       ???        ??? pipe:[2491]
system_se  2029     system   91       ???                ???       ???        ??? pipe:[2491]
system_se  2029     system   92       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   93       ???                ???       ???        ??? pipe:[2492]
system_se  2029     system   94       ???                ???       ???        ??? pipe:[2492]
system_se  2029     system   95       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   96       ???                ???       ???        ??? /dev/ashmem
system_se  2029     system   97       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2029     system   98       ???                ???       ???        ??? /sys/power/wake_lock
system_se  2029     system   99       ???                ???       ???        ??? /sys/power/wake_unlock
system_se  2029     system  100       ???                ???       ???        ??? /sys/power/state
system_se  2029     system  101       ???                ???       ???        ??? pipe:[3227]
